2022-06-01 12:36:49.253879338 +0000 UTC,e.userflow.com,userflow.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Business,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:49.293313748 +0000 UTC,e.userflow.com,userflow.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Business,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:50.337546161 +0000 UTC,staging.dnsfilter.app,dnsfilter.app,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:50.36125373 +0000 UTC,fonts.gstatic.com,gstatic.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Open domain,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:36:50.372557308 +0000 UTC,fonts.gstatic.com,gstatic.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Open domain,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:36:50.397799102 +0000 UTC,staging.dnsfilter.app,dnsfilter.app,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:51.774313862 +0000 UTC,www.google-analytics.com,google-analytics.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Open domain,Avengers MSP,,,,,
2022-06-01 12:36:51.800424267 +0000 UTC,stats.g.doubleclick.net,doubleclick.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:51.805963351 +0000 UTC,www.google-analytics.com,google-analytics.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Open domain,Avengers MSP,,,,,
2022-06-01 12:36:52.573844554 +0000 UTC,api.segment.io,segment.io,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:52.598107139 +0000 UTC,in.hotjar.com,hotjar.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:52.603419966 +0000 UTC,stats.g.doubleclick.net,doubleclick.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:52.608741963 +0000 UTC,api.segment.io,segment.io,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:52.646602179 +0000 UTC,in.hotjar.com,hotjar.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:52.832329129 +0000 UTC,www.google.com,www.google.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Search Engines & Portals,TRUE,FALSE,Category,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:36:52.856076593 +0000 UTC,www.google.com,www.google.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Search Engines & Portals,TRUE,FALSE,Category,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:36:53.712760909 +0000 UTC,api-js.mixpanel.com,mixpanel.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Business,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:36:53.759143656 +0000 UTC,api-js.mixpanel.com,mixpanel.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Business,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:02.311747729 +0000 UTC,us-east-1.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:02.33617209 +0000 UTC,us-east-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:02.359454137 +0000 UTC,us-east-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:02.366281086 +0000 UTC,us-east-1.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.893833855 +0000 UTC,support.content.office.net,office.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.899071137 +0000 UTC,messaging.engagement.office.com,office.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.904008812 +0000 UTC,ocws.officeapps.live.com,live.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.91803834 +0000 UTC,roaming.officeapps.live.com,live.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.935192992 +0000 UTC,substrate.office.com,office.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.960524056 +0000 UTC,roaming.officeapps.live.com,live.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:06.258076839 +0000 UTC,support.content.office.net,office.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:06.263571981 +0000 UTC,messaging.engagement.office.com,office.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:06.420122867 +0000 UTC,ocws.officeapps.live.com,live.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:06.529796549 +0000 UTC,login.microsoftonline.com,microsoftonline.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:06.535018422 +0000 UTC,substrate.office.com,office.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:07.470073277 +0000 UTC,login.microsoftonline.com,microsoftonline.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:12.665951729 +0000 UTC,slackb.com,slackb.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Webmail & Chat,TRUE,FALSE,Category,Avengers MSP,,196,slack,2,Business
2022-06-01 12:37:12.713643941 +0000 UTC,slackb.com,slackb.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Webmail & Chat,TRUE,FALSE,Category,Avengers MSP,,196,slack,2,Business
2022-06-01 12:37:15.096563435 +0000 UTC,self.events.data.microsoft.com,microsoft.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,535,microsoft,13,Ecosystem Applications
2022-06-01 12:37:15.134878438 +0000 UTC,self.events.data.microsoft.com,microsoft.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,535,microsoft,13,Ecosystem Applications
2022-06-01 12:37:19.479086928 +0000 UTC,uci.cdn.office.net,office.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:19.506314515 +0000 UTC,uci.cdn.office.net,office.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:20.583298738 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:20.590101371 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:21.976265068 +0000 UTC,static.netify.ai,netify.ai,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:22.011018871 +0000 UTC,static.netify.ai,netify.ai,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:13.684445363 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:13.692486258 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:39.499974326 +0000 UTC,phd.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:39.540526769 +0000 UTC,phd.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:46.778529342 +0000 UTC,auth-dev.dnsfilter.com,dnsfilter.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Open domain,Avengers MSP,,,,,
2022-06-01 12:38:46.815516529 +0000 UTC,auth-dev.dnsfilter.com,dnsfilter.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Open domain,Avengers MSP,,,,,
2022-06-01 12:38:47.824541123 +0000 UTC,updates.logitech.com,logitech.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Business,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:47.858600731 +0000 UTC,updates.logitech.com,logitech.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Business,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:47.88273026 +0000 UTC,d23iz4esrwkib6.cloudfront.net,d23iz4esrwkib6.cloudfront.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:38:48.155043345 +0000 UTC,d23iz4esrwkib6.cloudfront.net,d23iz4esrwkib6.cloudfront.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:39:09.795286887 +0000 UTC,safebrowsing.googleapis.com,googleapis.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Content Servers,Information Technology",TRUE,FALSE,Category,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:39:09.836248563 +0000 UTC,safebrowsing.googleapis.com,googleapis.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Content Servers,Information Technology",TRUE,FALSE,Category,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:39:54.277048556 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:39:54.325666142 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:28.745042279 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:28.769255868 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:55.333156826 +0000 UTC,us-east-1.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:55.685325165 +0000 UTC,us-west-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:55.711474666 +0000 UTC,us-east-1.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:55.73544652 +0000 UTC,us-west-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:55.851229846 +0000 UTC,us-east-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:40:55.856457533 +0000 UTC,us-east-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:41:04.387332225 +0000 UTC,www.google.com,www.google.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Search Engines & Portals,TRUE,FALSE,Category,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:41:04.440150643 +0000 UTC,www.google.com,www.google.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Search Engines & Portals,TRUE,FALSE,Category,Avengers MSP,,90,google,13,Ecosystem Applications
2022-06-01 12:41:06.664356206 +0000 UTC,avengersmspstaging.s3.us-east-1.amazonaws.com,amazonaws.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:41:07.464371341 +0000 UTC,avengersmspstaging.s3.us-east-1.amazonaws.com,amazonaws.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:41:16.993033527 +0000 UTC,self.events.data.microsoft.com,microsoft.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,535,microsoft,13,Ecosystem Applications
2022-06-01 12:41:17.017181829 +0000 UTC,self.events.data.microsoft.com,microsoft.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,535,microsoft,13,Ecosystem Applications
2022-06-01 12:41:18.900260656 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:41:18.947363934 +0000 UTC,login.microsoftonline.com,microsoftonline.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:41:18.951663444 +0000 UTC,outlook.office365.com,office365.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:41:19.945745202 +0000 UTC,login.microsoftonline.com,microsoftonline.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Information Technology,TRUE,FALSE,Category,Avengers MSP,,,,,
